# Compton profile shell occupancies
#
# Number of electrons in each atomic subshell for which G4EMLOW tabulates a
# Compton profile, in the order the profiles appear in profile-<Z>.dat.
#
# Source: F. Biggs, L. B. Mendelsohn and J. B. Mann, "Hartree-Fock Compton
# profiles for the elements", At. Data Nucl. Data Tables 16, 201-309 (1975),
# as tabulated in the DABAX file ComptonProfiles.dat (#UOCCUP keyword), from
# https://github.com/oasys-kit/DabaxFiles at commit 70ff903 (MIT licence).
# The DABAX profiles are identical to G4EMLOW profile-<Z>.dat to all tabulated
# digits for Z = 1-100, and its #UOCCUP is aligned column-for-column with
# them, so these occupancies refer to the same subshell as each profile.
#
# The occupancies in G4EMLOW shell-doppler.dat cannot be used: they follow the
# ordering of Geant4 G4AtomicShells (subshells sorted by decreasing binding
# energy) rather than the (n, l, j) ordering of the profiles and of the
# binding energies in the same file. For Z = 43 and 59-92 the two orderings
# differ and the occupancy does not belong to the subshell it is paired with.
#
# j0 is the profile value at pz = 0, carried as a fingerprint so that
# make_compton.py can verify each occupancy is still matched to the profile it
# was derived against.
#
#   Z  shell  electrons        j0
    1      1          1          0.849
    2      1          2          0.535
    3      1          2          0.329
    3      2          1           1.94
    4      1          2          0.237
    4      2          2           1.34
    5      1          2          0.186
    5      2          2              1
    5      3          1          0.615
    6      1          2          0.153
    6      2          2          0.804
    6      3          2          0.488
    7      1          2           0.13
    7      2          2          0.672
    7      3          3          0.407
    8      1          2          0.113
    8      2          2          0.579
    8      3          4           0.35
    9      1          2            0.1
    9      2          2          0.508
    9      3          5          0.307
   10      1          2           0.09
   10      2          2          0.453
   10      3          6          0.274
   11      1          2         0.0815
   11      2          2           0.39
   11      3          6          0.225
   11      4          1           2.07
   12      1          2         0.0745
   12      2          2          0.342
   12      3          6          0.192
   12      4          2           1.59
   13      1          2         0.0686
   13      2          2          0.305
   13      3          6          0.168
   13      4          2           1.24
   13      5          1          0.919
   14      1          2         0.0635
   14      2          2          0.275
   14      3          6          0.149
   14      4          2           1.04
   14      5          2          0.744
   15      1          2         0.0592
   15      2          2          0.251
   15      3          6          0.134
   15      4          2          0.897
   15      5          3          0.631
   16      1          2         0.0553
   16      2          2           0.23
   16      3          6          0.122
   16      4          2          0.794
   16      5          4          0.551
   17      1          2          0.052
   17      2          2          0.213
   17      3          6          0.112
   17      4          2          0.713
   17      5          5           0.49
   18      1          2          0.049
   18      2          2          0.198
   18      3          6          0.104
   18      4          2          0.649
   18      5          6          0.442
   19      1          2         0.0464
   19      2          2          0.185
   19      3          6         0.0965
   19      4          2           0.57
   19      5          6          0.376
   19      6          1           2.46
   20      1          2          0.044
   20      2          2          0.174
   20      3          6         0.0902
   20      4          2          0.508
   20      5          6           0.33
   20      6          2           1.95
   21      1          2         0.0418
   21      2          2          0.164
   21      3          6         0.0847
   21      4          2          0.471
   21      5          6          0.304
   21      6          1           0.31
   21      7          2           1.84
   22      1          2         0.0399
   22      2          2          0.155
   22      3          6         0.0798
   22      4          2          0.441
   22      5          6          0.282
   22      6          2          0.275
   22      7          2           1.76
   23      1          2         0.0381
   23      2          2          0.147
   23      3          6         0.0755
   23      4          2          0.415
   23      5          6          0.264
   23      6          3           0.25
   23      7          2           1.69
   24      1          2         0.0365
   24      2          2           0.14
   24      3          6         0.0716
   24      4          2          0.398
   24      5          6          0.253
   24      6          5          0.261
   24      7          1           1.85
   25      1          2          0.035
   25      2          2          0.133
   25      3          6         0.0681
   25      4          2          0.373
   25      5          6          0.235
   25      6          5          0.215
   25      7          2           1.59
   26      1          2         0.0336
   26      2          2          0.127
   26      3          6          0.065
   26      4          2          0.355
   26      5          6          0.223
   26      6          6          0.201
   26      7          2           1.55
   27      1          2         0.0323
   27      2          2          0.122
   27      3          6         0.0621
   27      4          2          0.339
   27      5          6          0.212
   27      6          7           0.19
   27      7          2           1.51
   28      1          2         0.0311
   28      2          2          0.117
   28      3          6         0.0595
   28      4          2          0.325
   28      5          6          0.202
   28      6          8          0.179
   28      7          2           1.47
   29      1          2         0.0301
   29      2          2          0.112
   29      3          6         0.0571
   29      4          2          0.315
   29      5          6          0.196
   29      6         10          0.185
   29      7          1           1.64
   30      1          2          0.029
   30      2          2          0.108
   30      3          6         0.0549
   30      4          2          0.299
   30      5          6          0.186
   30      6         10          0.162
   30      7          2           1.41
   31      1          2         0.0281
   31      2          2          0.104
   31      3          6         0.0528
   31      4          2          0.285
   31      5          6          0.176
   31      6         10          0.146
   31      7          2           1.18
   31      8          1          0.915
   32      1          2         0.0272
   32      2          2          0.101
